Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
30,2-STORY 1945 & OLDER,C (all),50,8500,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Feedr,Norm,1Fam,Two-story,Below Average,Below Average,1920,1950,Gambrel,Standard (Composite) Shingle,Brick Face,BrkFace,0,TA,Fair,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,649,649,Gas forced warm air furnace,Average/Typical,N,Standard Circuit Breakers & Romex,649,668,0,1317,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1920.0,Unfinished,1,250,Typical/Average,Fair,Dirt/Gravel,0,54,172,0,0,0,No,Minimum Privacy,No,0,Jul,2008,Warranty Deed - Conventional,Normal Sale,40000
31,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8544,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Above Average,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1228,1228,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1228,0,0,1228,0,0,1,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,1966.0,Unfinished,1,271,Typical/Average,Typical/Average,Paved,0,65,0,0,0,0,No,Minimum Privacy,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,149350
32,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,11049,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1234,1234,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1234,0,0,1234,0,0,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2007.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,0,30,0,0,0,0,No,No,No,0,Jan,2008,Warranty Deed - Conventional,Normal Sale,179900
33,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10552,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Average,1959,1959,Hip,Standard (Composite) Shingle,Brick Face,BrkFace,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1018,Unfinished,0,380,1398,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1700,0,0,1700,0,1,1,1,4,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1959.0,Rough Finished,2,447,Typical/Average,Typical/Average,Paved,0,38,0,0,0,0,No,No,No,0,Apr,2010,Warranty Deed - Conventional,Normal Sale,165500
34,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,60,7313,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,TwnhsE,One story,Excellent,Average,2005,2005,Hip,Standard (Composite) Shingle,Metal Siding,MetalSd,246,Ex,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1153,Unfinished,0,408,1561,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1561,0,0,1561,1,0,2,0,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Finished,2,556,Typical/Average,Typical/Average,Paved,203,47,0,0,0,0,No,No,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,277500
35,2-STORY 1946 & NEWER,Residential Low-Density,108,13418,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,1Fam,Two-story,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,132,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1117,1117,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1132,1320,0,2452,0,0,3,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004.0,Finished,3,691,Typical/Average,Typical/Average,Paved,113,32,0,0,0,0,No,No,No,0,Sep,2006,Warranty Deed - Conventional,Normal Sale,309000
36,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,112,10859,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Average,Average,1994,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1097,1097,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1097,0,0,1097,0,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1995.0,Unfinished,2,672,Typical/Average,Typical/Average,Paved,392,64,0,0,0,0,No,No,No,0,Jun,2009,Warranty Deed - Conventional,Normal Sale,145000
37,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,8532,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1954,1990,Hip,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,650,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1213,Unfinished,0,84,1297,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1297,0,0,1297,0,1,1,0,3,1,Typical/Average,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1954.0,Finished,2,498,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Oct,2009,Warranty Deed - Conventional,Normal Sale,153000
38,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,7922,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Good,1953,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,731,Unfinished,0,326,1057,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1057,0,0,1057,1,0,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,1953.0,Unfinished,1,246,Typical/Average,Typical/Average,Paved,0,52,0,0,0,0,No,No,No,0,Jan,2010,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",109000
39,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,65,6040,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,Duplex,One story,Below Average,Average,1955,1955,Gable,Standard (Composite) Shingle,Asbestos Shingles,Plywood,0,TA,Average/Typical,PConc,No,No,No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Average/Typical,N,60 AMP Fuse Box and mostly knob & tube wiring (poor),1152,0,0,1152,0,0,2,0,2,2,Fair,6,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Dirt/Gravel,0,0,0,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Adjoining Land Purchase,82000
40,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,8658,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Average,1965,1965,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,101,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,643,Unfinished,0,445,1088,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1324,0,0,1324,0,0,2,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1965.0,Rough Finished,2,440,Typical/Average,Typical/Average,Paved,0,138,0,0,0,0,No,Good Wood,No,0,Dec,2006,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",160000
41,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,115,16905,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timber,Norm,Norm,1Fam,One story,Average,Above Average,1959,1959,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living Quarters,967,Unfinished,0,383,1350,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1328,0,0,1328,0,1,1,1,2,1,Typical/Average,5,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1959.0,Rough Finished,1,308,Typical/Average,Typical/Average,Partial Pavement,0,104,0,0,0,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,170000
42,SC85,Residential Low-Density,0,9180,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,SawyerW,Norm,Norm,1Fam,Split Foyer,Average,Good,1983,1983,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters,747,Low Quality,93,0,840,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,884,0,0,884,1,0,1,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,1983.0,Rough Finished,2,504,Typical/Average,Good,Paved,240,0,0,0,0,0,No,Minimum Privacy,No,0,Dec,2007,Warranty Deed - Conventional,Normal Sale,144000
43,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9200,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Average,Above Average,1975,1980,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Low Quality,280,Below Average Living Quarters,491,167,938,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,938,0,0,938,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1977.0,Unfinished,1,308,Typical/Average,Typical/Average,Paved,145,0,0,0,0,0,No,Minimum Privacy,No,0,Jul,2008,Warranty Deed - Conventional,Normal Sale,130250
44,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7945,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1959,1959,Gable,Standard (Composite) Shingle,Brick Face,Wd Sdng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,179,Below Average Living Quarters,506,465,1150,Gas forced warm air furnace,Excellent,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1150,0,0,1150,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1959.0,Rough Finished,1,300,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,May,2006,Warranty Deed - Conventional,Normal Sale,141000
45,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,61,7658,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,TwnhsE,One story,Excellent,Average,2005,2005,Hip,Standard (Composite) Shingle,Metal Siding,MetalSd,412,Ex,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,456,Unfinished,0,1296,1752,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1752,0,0,1752,1,0,2,0,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,196,82,0,0,0,0,No,No,No,0,Feb,2010,Warranty Deed - Conventional,Normal Sale,319900
46,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,48,12822,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Mitchel,Norm,Norm,1Fam,One and one-half story &2nd level finished,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1351,Unfinished,0,83,1434,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1518,631,0,2149,1,0,1,1,1,1,Good,6,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2003.0,Rough Finished,2,670,Typical/Average,Typical/Average,Paved,168,43,0,0,198,0,No,No,No,0,Aug,2009,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",239686
47,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,84,11096,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,One story,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,24,Unfinished,0,1632,1656,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1656,0,0,1656,0,0,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2006.0,Rough Finished,3,826,Typical/Average,Typical/Average,Paved,0,146,0,0,0,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,249700
48,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,33,4456,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,2fmCon,Two-story,Below Average,Average,1920,2008,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,736,736,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,736,716,0,1452,0,0,2,0,2,3,Typical/Average,8,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Dirt/Gravel,0,0,102,0,0,0,No,No,No,0,Jun,2009,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),113000
49,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,7742,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Good,1966,1966,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,763,Unfinished,0,192,955,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,955,0,0,955,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1966.0,Unfinished,1,386,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Minimum Privacy,No,0,Jan,2007,Warranty Deed - Conventional,Normal Sale,127000
50,2-STORY 1946 & NEWER,Residential Low-Density,0,13869,Paved,Moderately Irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Gilbert,Norm,Norm,1Fam,Two-story,Above Average,Above Average,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,182,Unfinished,0,612,794,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,794,676,0,1470,0,1,2,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1997.0,Finished,2,388,Typical/Average,Typical/Average,Paved,0,75,0,0,0,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,177000
51,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,52,6240,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Above Average,1934,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,816,816,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,816,0,360,1176,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1985.0,Unfinished,2,528,Typical/Average,Typical/Average,Paved,112,0,0,0,0,0,No,Minimum Privacy,Shed (over 100 SF),400,Sep,2006,Warranty Deed - Conventional,Normal Sale,114500
52,DUPLEX - ALL STYLES AND AGES,Residential Medium Density,110,8472,Gravel,Moderately Irregular,Bnk,"All public Utilities (E,G,W,& S)",Corner,Moderate Slope,Iowa DOT and Rail Road,RRNn,Norm,Duplex,One story,Average,Average,1963,1963,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,Fa,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Low Quality,104,Good Living Quarters,712,0,816,Gas forced warm air furnace,Average/Typical,N,Standard Circuit Breakers & Romex,816,0,0,816,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Car Port,1963.0,Unfinished,2,516,Typical/Average,Typical/Average,Paved,106,0,0,0,0,0,No,No,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,110000
53,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,50271,Paved,Slightly irregular,Low,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Veenker,Norm,Norm,1Fam,One story,Excellent,Average,1981,1987,Gable,Wood Shingles,Wood Shingles,Wd Shng,0,Gd,Average/Typical,CBlock,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1810,Unfinished,0,32,1842,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1842,0,0,1842,2,0,0,1,0,1,Good,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1981.0,Finished,3,894,Typical/Average,Typical/Average,Paved,857,72,0,0,0,0,No,No,No,0,Nov,2006,Warranty Deed - Conventional,Normal Sale,385000
54,SPLIT OR MULTI-LEVEL,Residential Low-Density,60,7134,Paved,Regular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,NAmes,Norm,Norm,1Fam,Split Level,Average,Average,1955,1955,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,384,Unfinished,0,0,384,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1360,0,0,1360,0,0,1,0,3,1,Typical/Average,6,Minor Deductions 1,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1962.0,Unfinished,2,572,Typical/Average,Typical/Average,Paved,0,50,0,0,0,0,No,Minimum Privacy,No,0,Feb,2007,Warranty Deed - Conventional,Normal Sale,130000
55,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,10175,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Average,1964,1964,Gable,Standard (Composite) Shingle,Hard Board,Plywood,272,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,490,Unfinished,0,935,1425,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1425,0,0,1425,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1964.0,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,0,0,0,407,0,0,No,No,No,0,Jul,2008,Warranty Deed - Conventional,Normal Sale,180500
